base_order,base_index,base_cl_label,base_cd_train,shift,shift_numeric,cl_target,sample_id,cl_out,cd_out,valid,cl_err,cl_ape_pct
3,23,0.5196746587753296,0.0070502115,,0.0,0.5196746587753296,0,0.519826293,0.0070440737,1,0.0001516342246704605,0.02917868364561074
3,23,0.5196746587753296,0.0070502115,,0.0,0.5196746587753296,1,0.5166607499,0.0070275483,1,-0.003013908875329596,0.5799607166591889
3,23,0.5196746587753296,0.0070502115,,0.0,0.5196746587753296,2,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.1,0.10000000149011612,0.6196746602654457,0,0.5584117174,0.0079444554,1,-0.06126294286544576,9.88630757294529
3,23,0.5196746587753296,0.0070502115,0.1,0.10000000149011612,0.6196746602654457,1,0.583947897,0.0077888994,1,-0.03572676326544566,5.765406519953816
3,23,0.5196746587753296,0.0070502115,0.1,0.10000000149011612,0.6196746602654457,2,0.5895053148,0.0077818092,1,-0.030169345465445696,4.868578207235755
3,23,0.5196746587753296,0.0070502115,0.2,0.20000000298023224,0.7196746617555618,0,0.6665251851,0.0087334262,1,-0.0531494766555618,7.385208828376685
3,23,0.5196746587753296,0.0070502115,0.2,0.20000000298023224,0.7196746617555618,1,0.6660344005,0.0086100195,1,-0.05364026125556187,7.4534041708114
3,23,0.5196746587753296,0.0070502115,0.2,0.20000000298023224,0.7196746617555618,2,0.6673554182,0.0085659772,1,-0.052319243555561834,7.269846548152076
3,23,0.5196746587753296,0.0070502115,0.3,0.30000001192092896,0.8196746706962585,0,0.738889575,0.0102063688,1,-0.08078509569625858,9.855751139368143
3,23,0.5196746587753296,0.0070502115,0.3,0.30000001192092896,0.8196746706962585,1,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.3,0.30000001192092896,0.8196746706962585,2,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.4,0.4000000059604645,0.9196746647357941,0,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.4,0.4000000059604645,0.9196746647357941,1,0.6508666873,0.0118700135,1,-0.2688079774357941,29.22859438701813
3,23,0.5196746587753296,0.0070502115,0.4,0.4000000059604645,0.9196746647357941,2,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.5,0.5,1.0196746587753296,0,0.8092976213,0.0129194083,1,-0.21037703747532954,20.631780506147017
3,23,0.5196746587753296,0.0070502115,0.5,0.5,1.0196746587753296,1,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.5,0.5,1.0196746587753296,2,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.6,0.6000000238418579,1.1196746826171875,0,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.6,0.6000000238418579,1.1196746826171875,1,0.8884504437,0.0152653186,1,-0.23122423891718746,20.6510196673119
3,23,0.5196746587753296,0.0070502115,0.6,0.6000000238418579,1.1196746826171875,2,0.7833994031,0.0151152546,1,-0.3362752795171875,30.03330205976969
3,23,0.5196746587753296,0.0070502115,0.7,0.699999988079071,1.2196746468544006,0,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.7,0.699999988079071,1.2196746468544006,1,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.7,0.699999988079071,1.2196746468544006,2,0.9224943519,0.0155040091,1,-0.2971802949544007,24.36553844263656
3,23,0.5196746587753296,0.0070502115,0.8,0.800000011920929,1.3196746706962585,0,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.8,0.800000011920929,1.3196746706962585,1,nan,nan,0,nan,nan
3,23,0.5196746587753296,0.0070502115,0.8,0.800000011920929,1.3196746706962585,2,0.7756559849,0.0137010068,1,-0.5440186857962586,41.22369686077516
