shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_ape_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.5468271374702454,0.5468210578,0.0069119786,0.00111180843611336,13,0,1
0.1,0.10000000149011612,0.6468271613121033,0.6354983449,0.0078006811,1.7514441399032323,12,0,1
0.2,0.20000000298023224,0.7468271255493164,0.7053562999,0.0084171733,5.552935107815371,14,2,1
0.3,0.30000001192092896,0.8468271493911743,0.7791898847,0.0093765361,7.987139375467842,6,1,1
0.4,0.4000000059604645,0.9468271732330322,0.8566724658,0.0110416561,9.521770179576736,2,0,1
0.5,0.5,1.0468270778656006,0.8960143328,0.0123037817,14.406653042744761,7,1,1
0.6,0.6000000238418579,1.146827220916748,0.925275445,0.0140047949,19.31867084037685,1,0,1
0.7,0.699999988079071,1.2468271255493164,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3468271493911743,0.8695629835,0.0120332418,35.43618541599186,15,1,1
