shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_ape_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.51097571849823,0.5055362582,0.0148462383,1.0645242232285819,4,0,1
0.1,0.10000000149011612,0.6109757423400879,0.6147552729,0.0197155979,0.6186056659853918,1,2,1
0.2,0.20000000298023224,0.710975706577301,0.6389425993,0.0237038322,10.131584892552056,7,0,1
0.3,0.30000001192092896,0.8109757304191589,nan,nan,nan,15,0,0
0.4,0.4000000059604645,0.9109756946563721,0.4385958314,0.0333160236,51.85427734540797,9,1,1
0.5,0.5,1.01097571849823,0.8799373507,0.0273239091,12.961574190217249,14,2,1
0.6,0.6000000238418579,1.110975742340088,0.9376485348,0.0252328888,15.601349420555538,7,2,1
0.7,0.699999988079071,1.2109756469726562,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3109757900238037,nan,nan,nan,15,0,0
