shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_ape_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.5176753997802734,0.5181004405,0.0070415847,0.08210564378894712,9,0,1
0.1,0.10000000149011612,0.6176754236221313,0.6017244458,0.0083574587,2.5824206714576285,4,0,1
0.2,0.20000000298023224,0.7176753878593445,0.6618626118,0.0089701293,7.776883115055794,2,0,1
0.3,0.30000001192092896,0.8176754117012024,0.7058801055,0.0096699148,13.672333128937842,13,1,1
0.4,0.4000000059604645,0.9176753759384155,0.6269025207,0.0097110718,31.685807733597628,6,0,1
0.5,0.5,1.0176753997802734,0.6051895022,0.0091039985,40.53216749361667,11,2,1
0.6,0.6000000238418579,1.1176754236221313,nan,nan,nan,15,0,0
0.7,0.699999988079071,1.2176754474639893,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3176753520965576,nan,nan,nan,15,0,0
