shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_abs_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.5282131433486938,0.5271337032,0.025164308,0.0010794401486938776,10,2,1
0.1,0.10000000149011612,0.6282131671905518,0.5689042211,0.0257632285,0.059308946090551706,8,0,1
0.2,0.20000000298023224,0.7282131314277649,0.5914614201,0.0281379763,0.13675171132776487,8,0,1
0.3,0.30000001192092896,0.8282131552696228,0.6558289528,0.0288880542,0.17238420246962283,1,2,1
0.4,0.4000000059604645,0.9282131195068359,0.7964476347,0.0311486032,0.13176548480683592,3,1,1
0.5,0.5,1.0282131433486938,0.9651048183,0.02628172,0.0631083250486939,6,1,1
0.6,0.6000000238418579,1.1282131671905518,nan,nan,nan,15,0,0
0.7,0.699999988079071,1.2282130718231201,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3282132148742676,nan,nan,nan,15,0,0
