shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_abs_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.5037943720817566,0.5049039721,0.035338182,0.0011096000182434507,12,2,1
0.1,0.10000000149011612,0.6037943959236145,0.6017458439,0.0355704837,0.002048552023614536,9,1,1
0.2,0.20000000298023224,0.7037943601608276,0.7084901333,0.0310591664,0.0046957731391723545,5,0,1
0.3,0.30000001192092896,0.8037943840026855,0.3348255455,0.0526280366,0.46896883850268556,9,2,1
0.4,0.4000000059604645,0.9037944078445435,0.2783255875,0.051418703,0.6254688203445434,10,2,1
0.5,0.5,1.0037944316864014,0.1860555112,0.050987009,0.8177389204864014,3,2,1
0.6,0.6000000238418579,1.1037943363189697,nan,nan,nan,15,0,0
0.7,0.699999988079071,1.2037943601608276,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3037943840026855,nan,nan,nan,15,0,0
