order,index,cl_label,cl_xfoil,cd_xfoil,cd_target
1,2040,0.5176753997802734,0.5176754594,0.0070440164,0.005
2,436,0.5097565054893494,0.5097562671,0.0101369238,0.01
3,879,0.51097571849823,0.5109736919,0.0150215048,0.015
4,1200,0.5065781474113464,0.5065741539,0.0195164364,0.02
5,1431,0.5036484599113464,0.5036507249,0.0233744774,0.025
6,1746,0.5164886713027954,0.5164766908,0.0296032,0.03
7,1972,0.5037943720817566,0.503795445,0.0351125747,0.035
