attempt,shift,shift_numeric,cl_target,sample_id,cl_out,cd_out,valid,abs_cl_err
1,,0.0,0.5176753997802734,0,0.7973207235,0.0095343711,1,0.2796453237197266
1,,0.0,0.5176753997802734,1,0.5214845538,0.0070627551,1,0.0038091540197265905
1,,0.0,0.5176753997802734,2,0.5151543021,0.0070280191,1,0.002521097680273421
1,0.1,0.10000000149011612,0.6176754236221313,0,0.5908358097,0.0082951738,1,0.0268396139221313
1,0.1,0.10000000149011612,0.6176754236221313,1,0.5884116292,0.0082902396,1,0.02926379442213134
1,0.1,0.10000000149011612,0.6176754236221313,2,nan,nan,0,nan
1,0.2,0.20000000298023224,0.7176753878593445,0,0.6556892991,0.0091066211,1,0.061986088759344526
1,0.2,0.20000000298023224,0.7176753878593445,1,0.6548157334,0.0091624223,1,0.0628596544593445
1,0.2,0.20000000298023224,0.7176753878593445,2,0.6597355604,0.0091506941,1,0.05793982745934445
1,0.3,0.30000001192092896,0.8176754117012024,0,0.7004555464,0.0099244062,1,0.11721986530120243
1,0.3,0.30000001192092896,0.8176754117012024,1,0.6946784258,0.0097902203,1,0.12299698590120234
1,0.3,0.30000001192092896,0.8176754117012024,2,0.6977297664,0.0096010603,1,0.11994564530120244
1,0.4,0.4000000059604645,0.9176753759384155,0,0.1784374863,0.0024280844,1,0.7392378896384155
1,0.4,0.4000000059604645,0.9176753759384155,1,0.5293567181,0.009860524,1,0.38831865783841557
1,0.4,0.4000000059604645,0.9176753759384155,2,0.5463665724,0.012119255,1,0.37130880353841555
1,0.5,0.5,1.0176753997802734,0,nan,nan,0,nan
1,0.5,0.5,1.0176753997802734,1,nan,nan,0,nan
1,0.5,0.5,1.0176753997802734,2,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1176754236221313,0,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1176754236221313,1,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1176754236221313,2,nan,nan,0,nan
1,0.7,0.699999988079071,1.2176754474639893,0,nan,nan,0,nan
1,0.7,0.699999988079071,1.2176754474639893,1,nan,nan,0,nan
1,0.7,0.699999988079071,1.2176754474639893,2,nan,nan,0,nan
1,0.8,0.800000011920929,1.3176753520965576,0,nan,nan,0,nan
1,0.8,0.800000011920929,1.3176753520965576,1,nan,nan,0,nan
1,0.8,0.800000011920929,1.3176753520965576,2,nan,nan,0,nan
2,,0.0,0.5176753997802734,0,0.5161826611,0.0070350505,1,0.0014927386802734421
2,,0.0,0.5176753997802734,1,0.516859591,0.0070367055,1,0.0008158087802734304
2,,0.0,0.5176753997802734,2,0.5105486512,0.0069989925,1,0.007126748580273401
2,0.1,0.10000000149011612,0.6176754236221313,0,0.5937828422,0.0083338842,1,0.023892581422131354
2,0.1,0.10000000149011612,0.6176754236221313,1,0.6002581716,0.0083310818,1,0.017417252022131402
2,0.1,0.10000000149011612,0.6176754236221313,2,0.5908346772,0.0083311582,1,0.0268407464221313
2,0.2,0.20000000298023224,0.7176753878593445,0,0.6618626118,0.0089701293,1,0.05581277605934454
2,0.2,0.20000000298023224,0.7176753878593445,1,0.6525815725,0.0090786275,1,0.06509381535934444
2,0.2,0.20000000298023224,0.7176753878593445,2,0.6569196582,0.0090415766,1,0.060755729659344504
2,0.3,0.30000001192092896,0.8176754117012024,0,0.696873188,0.0097671151,1,0.12080222370120242
2,0.3,0.30000001192092896,0.8176754117012024,1,0.6994608045,0.0097137699,1,0.11821460720120236
2,0.3,0.30000001192092896,0.8176754117012024,2,0.6980548501,0.0095866015,1,0.11962056160120238
2,0.4,0.4000000059604645,0.9176753759384155,0,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9176753759384155,1,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9176753759384155,2,nan,nan,0,nan
2,0.5,0.5,1.0176753997802734,0,nan,nan,0,nan
2,0.5,0.5,1.0176753997802734,1,nan,nan,0,nan
2,0.5,0.5,1.0176753997802734,2,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1176754236221313,0,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1176754236221313,1,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1176754236221313,2,nan,nan,0,nan
2,0.7,0.699999988079071,1.2176754474639893,0,nan,nan,0,nan
2,0.7,0.699999988079071,1.2176754474639893,1,nan,nan,0,nan
2,0.7,0.699999988079071,1.2176754474639893,2,nan,nan,0,nan
2,0.8,0.800000011920929,1.3176753520965576,0,nan,nan,0,nan
2,0.8,0.800000011920929,1.3176753520965576,1,nan,nan,0,nan
2,0.8,0.800000011920929,1.3176753520965576,2,nan,nan,0,nan
3,,0.0,0.5176753997802734,0,nan,nan,0,nan
3,,0.0,0.5176753997802734,1,0.5572384596,0.0072289612,1,0.03956305981972652
3,,0.0,0.5176753997802734,2,0.5338394642,0.0071222438,1,0.01616406441972651
3,0.1,0.10000000149011612,0.6176754236221313,0,0.5900884271,0.0083308108,1,0.02758699652213137
3,0.1,0.10000000149011612,0.6176754236221313,1,0.5856038332,0.0083714053,1,0.03207159042213137
3,0.1,0.10000000149011612,0.6176754236221313,2,0.5922575593,0.0083099334,1,0.025417864322131334
3,0.2,0.20000000298023224,0.7176753878593445,0,0.654476285,0.0091674319,1,0.06319910285934449
