shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_abs_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.5382078289985657,0.5385893583,0.0348886289,0.0003815293014343135,11,1,1
0.1,0.10000000149011612,0.6382078528404236,0.5964652896,0.0346450433,0.04174256324042358,2,2,1
0.2,0.20000000298023224,0.7382078170776367,0.6902211905,0.0313208029,0.04798662657763675,3,1,1
0.3,0.30000001192092896,0.8382078409194946,0.7786772847,0.0270525273,0.05953055621949466,12,0,1
0.4,0.4000000059604645,0.9382078647613525,nan,nan,nan,15,0,0
0.5,0.5,1.038207769393921,nan,nan,nan,15,0,0
0.6,0.6000000238418579,1.1382079124450684,nan,nan,nan,15,0,0
0.7,0.699999988079071,1.2382078170776367,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3382078409194946,nan,nan,nan,15,0,0
