attempt,shift,shift_numeric,cl_target,sample_id,cl_out,cd_out,valid,abs_cl_err
1,,0.0,0.5382078289985657,0,0.5141876936,0.0348365642,1,0.024020135398565623
1,,0.0,0.5382078289985657,1,0.5421087742,0.035175629,1,0.003900945201434358
1,,0.0,0.5382078289985657,2,0.5704491138,0.0352339707,1,0.03224128480143429
1,0.1,0.10000000149011612,0.6382078528404236,0,0.5269358754,0.0340571068,1,0.11127197744042361
1,0.1,0.10000000149011612,0.6382078528404236,1,0.5492805839,0.0343802832,1,0.08892726894042358
1,0.1,0.10000000149011612,0.6382078528404236,2,0.5297025442,0.0341236927,1,0.10850530864042363
1,0.2,0.20000000298023224,0.7382078170776367,0,nan,nan,0,nan
1,0.2,0.20000000298023224,0.7382078170776367,1,nan,nan,0,nan
1,0.2,0.20000000298023224,0.7382078170776367,2,0.5451958776,0.0511999279,1,0.19301193947763673
1,0.3,0.30000001192092896,0.8382078409194946,0,nan,nan,0,nan
1,0.3,0.30000001192092896,0.8382078409194946,1,nan,nan,0,nan
1,0.3,0.30000001192092896,0.8382078409194946,2,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9382078647613525,0,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9382078647613525,1,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9382078647613525,2,nan,nan,0,nan
1,0.5,0.5,1.038207769393921,0,nan,nan,0,nan
1,0.5,0.5,1.038207769393921,1,nan,nan,0,nan
1,0.5,0.5,1.038207769393921,2,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1382079124450684,0,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1382079124450684,1,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1382079124450684,2,nan,nan,0,nan
1,0.7,0.699999988079071,1.2382078170776367,0,nan,nan,0,nan
1,0.7,0.699999988079071,1.2382078170776367,1,nan,nan,0,nan
1,0.7,0.699999988079071,1.2382078170776367,2,nan,nan,0,nan
1,0.8,0.800000011920929,1.3382078409194946,0,nan,nan,0,nan
1,0.8,0.800000011920929,1.3382078409194946,1,nan,nan,0,nan
1,0.8,0.800000011920929,1.3382078409194946,2,nan,nan,0,nan
2,,0.0,0.5382078289985657,0,0.5350427628,0.0353042558,1,0.0031650661985657136
2,,0.0,0.5382078289985657,1,0.5508444309,0.0350548066,1,0.012636601901434341
2,,0.0,0.5382078289985657,2,0.4843215346,0.0343938433,1,0.05388629439856568
2,0.1,0.10000000149011612,0.6382078528404236,0,0.5412533283,0.0340454392,1,0.09695452454042364
2,0.1,0.10000000149011612,0.6382078528404236,1,nan,nan,0,nan
2,0.1,0.10000000149011612,0.6382078528404236,2,0.5964652896,0.0346450433,1,0.04174256324042358
2,0.2,0.20000000298023224,0.7382078170776367,0,0.616325736,0.0315190218,1,0.12188208107763676
2,0.2,0.20000000298023224,0.7382078170776367,1,0.6223624945,0.0302626882,1,0.11584532257763669
2,0.2,0.20000000298023224,0.7382078170776367,2,0.624504745,0.030947566,1,0.11370307207763675
2,0.3,0.30000001192092896,0.8382078409194946,0,nan,nan,0,nan
2,0.3,0.30000001192092896,0.8382078409194946,1,nan,nan,0,nan
2,0.3,0.30000001192092896,0.8382078409194946,2,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9382078647613525,0,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9382078647613525,1,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9382078647613525,2,nan,nan,0,nan
2,0.5,0.5,1.038207769393921,0,nan,nan,0,nan
2,0.5,0.5,1.038207769393921,1,nan,nan,0,nan
2,0.5,0.5,1.038207769393921,2,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1382079124450684,0,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1382079124450684,1,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1382079124450684,2,nan,nan,0,nan
2,0.7,0.699999988079071,1.2382078170776367,0,nan,nan,0,nan
