attempt,shift,shift_numeric,cl_target,sample_id,cl_out,cd_out,valid,abs_cl_err
1,,0.0,0.5065781474113464,0,0.4824181497,0.019495625,1,4.769253832761219
1,,0.0,0.5065781474113464,1,0.4774234891,0.0195101593,1,5.7552143653114545
1,,0.0,0.5065781474113464,2,0.468218863,0.019247232,1,7.572234334892921
1,0.1,0.10000000149011612,0.6065781712532043,0,0.5388774276,0.0218314044,1,11.161091325349386
1,0.1,0.10000000149011612,0.6065781712532043,1,0.5748935342,0.0221430492,1,5.2235043321363115
1,0.1,0.10000000149011612,0.6065781712532043,2,0.5445078015,0.0217682216,1,10.232872314703569
1,0.2,0.20000000298023224,0.7065781354904175,0,0.5886386633,0.0229975209,1,16.69163907945704
1,0.2,0.20000000298023224,0.7065781354904175,1,0.6002135873,0.0229941681,1,15.053472906657756
1,0.2,0.20000000298023224,0.7065781354904175,2,0.5680907965,0.0227695815,1,19.599720403787614
1,0.3,0.30000001192092896,0.8065781593322754,0,nan,nan,0,nan
1,0.3,0.30000001192092896,0.8065781593322754,1,nan,nan,0,nan
1,0.3,0.30000001192092896,0.8065781593322754,2,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9065781831741333,0,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9065781831741333,1,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9065781831741333,2,nan,nan,0,nan
1,0.5,0.5,1.0065782070159912,0,nan,nan,0,nan
1,0.5,0.5,1.0065782070159912,1,nan,nan,0,nan
1,0.5,0.5,1.0065782070159912,2,0.5611304045,0.0305844098,1,44.25367044618665
1,0.6,0.6000000238418579,1.1065781116485596,0,0.6643558145,0.0254058838,1,39.9630439544611
1,0.6,0.6000000238418579,1.1065781116485596,1,0.738380909,0.024703674,1,33.27349409613988
1,0.6,0.6000000238418579,1.1065781116485596,2,0.6708672643,0.0260431785,1,39.374612850370376
1,0.7,0.699999988079071,1.2065781354904175,0,nan,nan,0,nan
1,0.7,0.699999988079071,1.2065781354904175,1,nan,nan,0,nan
1,0.7,0.699999988079071,1.2065781354904175,2,nan,nan,0,nan
1,0.8,0.800000011920929,1.3065781593322754,0,nan,nan,0,nan
1,0.8,0.800000011920929,1.3065781593322754,1,nan,nan,0,nan
1,0.8,0.800000011920929,1.3065781593322754,2,nan,nan,0,nan
2,,0.0,0.5065781474113464,0,0.4749727547,0.0223275349,1,6.2389964653731
2,,0.0,0.5065781474113464,1,0.5080042481,0.0191640947,1,0.2815164246505794
2,,0.0,0.5065781474113464,2,0.4546861947,0.0226540249,1,10.243622425585933
2,0.1,0.10000000149011612,0.6065781712532043,0,0.5509489775,0.02179024,1,9.170985107867155
2,0.1,0.10000000149011612,0.6065781712532043,1,0.5447266698,0.0218243897,1,10.196789858991757
2,0.1,0.10000000149011612,0.6065781712532043,2,0.603171885,0.0213767197,1,0.5615576713166115
2,0.2,0.20000000298023224,0.7065781354904175,0,0.6241285801,0.0231663249,1,11.668851787098017
2,0.2,0.20000000298023224,0.7065781354904175,1,0.5760377645,0.0229251329,1,18.47500855652897
2,0.2,0.20000000298023224,0.7065781354904175,2,0.5939251184,0.0233447738,1,15.943462078999657
2,0.3,0.30000001192092896,0.8065781593322754,0,nan,nan,0,nan
2,0.3,0.30000001192092896,0.8065781593322754,1,nan,nan,0,nan
2,0.3,0.30000001192092896,0.8065781593322754,2,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9065781831741333,0,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9065781831741333,1,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9065781831741333,2,nan,nan,0,nan
2,0.5,0.5,1.0065782070159912,0,nan,nan,0,nan
2,0.5,0.5,1.0065782070159912,1,nan,nan,0,nan
2,0.5,0.5,1.0065782070159912,2,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1065781116485596,0,0.7113041878,0.0260238741,1,35.720381569782525
2,0.6,0.6000000238418579,1.1065781116485596,1,0.6538239717,0.0252043996,1,40.914792655175056
2,0.6,0.6000000238418579,1.1065781116485596,2,0.7417152524,0.0247478466,1,32.972173894258006
2,0.7,0.699999988079071,1.2065781354904175,0,nan,nan,0,nan
2,0.7,0.699999988079071,1.2065781354904175,1,nan,nan,0,nan
2,0.7,0.699999988079071,1.2065781354904175,2,nan,nan,0,nan
2,0.8,0.800000011920929,1.3065781593322754,0,nan,nan,0,nan
2,0.8,0.800000011920929,1.3065781593322754,1,nan,nan,0,nan
2,0.8,0.800000011920929,1.3065781593322754,2,nan,nan,0,nan
3,,0.0,0.5065781474113464,0,0.4827801883,0.0195322391,1,4.697786359904355
3,,0.0,0.5065781474113464,1,0.5106756091,0.0191619452,1,0.8088508573833858
3,,0.0,0.5065781474113464,2,0.5069150925,0.0193167515,1,0.06651394071682275
3,0.1,0.10000000149011612,0.6065781712532043,0,0.5386226773,0.0205683354,1,11.20308925934587
3,0.1,0.10000000149011612,0.6065781712532043,1,0.581366241,0.0209838469,1,4.1564189824233075
3,0.1,0.10000000149011612,0.6065781712532043,2,0.6016249061,0.0215652566,1,0.8165913954619929
3,0.2,0.20000000298023224,0.7065781354904175,0,0.5928733349,0.0231901389,1,16.092318015402203
3,0.2,0.20000000298023224,0.7065781354904175,1,0.6205862164,0.023180116,1,12.170192477118292
3,0.2,0.20000000298023224,0.7065781354904175,2,0.6231755614,0.0234602205,1,11.803729821406087
3,0.3,0.30000001192092896,0.8065781593322754,0,nan,nan,0,nan
3,0.3,0.30000001192092896,0.8065781593322754,1,nan,nan,0,nan
3,0.3,0.30000001192092896,0.8065781593322754,2,nan,nan,0,nan
3,0.4,0.4000000059604645,0.9065781831741333,0,nan,nan,0,nan
3,0.4,0.4000000059604645,0.9065781831741333,1,0.5108659267,0.0302078109,1,43.64899396637321
3,0.4,0.4000000059604645,0.9065781831741333,2,nan,nan,0,nan
3,0.5,0.5,1.0065782070159912,0,nan,nan,0,nan
3,0.5,0.5,1.0065782070159912,1,0.7527380586,0.024709234,1,25.218124796135044
3,0.5,0.5,1.0065782070159912,2,0.5803737044,0.0281650629,1,42.34191637026175
3,0.6,0.6000000238418579,1.1065781116485596,0,0.6931112409,0.025846526,1,37.364454112740795
3,0.6,0.6000000238418579,1.1065781116485596,1,0.7041451931,0.0253678747,1,36.36733044981547
3,0.6,0.6000000238418579,1.1065781116485596,2,0.7152721286,0.0259382967,1,35.361804009081574
3,0.7,0.699999988079071,1.2065781354904175,0,nan,nan,0,nan
3,0.7,0.699999988079071,1.2065781354904175,1,nan,nan,0,nan
3,0.7,0.699999988079071,1.2065781354904175,2,nan,nan,0,nan
3,0.8,0.800000011920929,1.3065781593322754,0,nan,nan,0,nan
3,0.8,0.800000011920929,1.3065781593322754,1,nan,nan,0,nan
3,0.8,0.800000011920929,1.3065781593322754,2,nan,nan,0,nan
4,,0.0,0.5065781474113464,0,0.536988318,0.0195553806,1,6.003056141298615
4,,0.0,0.5065781474113464,1,0.500582397,0.0197436083,1,1.1835785736090725
4,,0.0,0.5065781474113464,2,0.4846342206,0.0196120553,1,4.331794990265885
4,0.1,0.10000000149011612,0.6065781712532043,0,0.530436933,0.0217579305,1,12.552584623329711
4,0.1,0.10000000149011612,0.6065781712532043,1,0.576254487,0.020973023,1,4.9991387244540775
4,0.1,0.10000000149011612,0.6065781712532043,2,0.5267054439,0.0218310971,1,13.167754980068851
4,0.2,0.20000000298023224,0.7065781354904175,0,0.5628077388,0.0229596142,1,20.347416579856407
4,0.2,0.20000000298023224,0.7065781354904175,1,nan,nan,0,nan
4,0.2,0.20000000298023224,0.7065781354904175,2,0.6037908196,0.0229121875,1,14.547197362550069
4,0.3,0.30000001192092896,0.8065781593322754,0,0.6404764652,0.0253186729,1,20.59337860943104
4,0.3,0.30000001192092896,0.8065781593322754,1,nan,nan,0,nan
4,0.3,0.30000001192092896,0.8065781593322754,2,nan,nan,0,nan
4,0.4,0.4000000059604645,0.9065781831741333,0,nan,nan,0,nan
4,0.4,0.4000000059604645,0.9065781831741333,1,nan,nan,0,nan
4,0.4,0.4000000059604645,0.9065781831741333,2,nan,nan,0,nan
4,0.5,0.5,1.0065782070159912,0,nan,nan,0,nan
4,0.5,0.5,1.0065782070159912,1,nan,nan,0,nan
4,0.5,0.5,1.0065782070159912,2,nan,nan,0,nan
4,0.6,0.6000000238418579,1.1065781116485596,0,0.7120316029,0.0261455886,1,35.65464602953076
4,0.6,0.6000000238418579,1.1065781116485596,1,nan,nan,0,nan
4,0.6,0.6000000238418579,1.1065781116485596,2,0.7311369777,0.0255453382,1,33.92811858434777
4,0.7,0.699999988079071,1.2065781354904175,0,nan,nan,0,nan
4,0.7,0.699999988079071,1.2065781354904175,1,nan,nan,0,nan
4,0.7,0.699999988079071,1.2065781354904175,2,nan,nan,0,nan
4,0.8,0.800000011920929,1.3065781593322754,0,nan,nan,0,nan
4,0.8,0.800000011920929,1.3065781593322754,1,nan,nan,0,nan
4,0.8,0.800000011920929,1.3065781593322754,2,nan,nan,0,nan
5,,0.0,0.5065781474113464,0,0.4609413743,0.01907322,1,9.008831775423772
5,,0.0,0.5065781474113464,1,0.4525598586,0.0226901695,1,10.663367357511195
5,,0.0,0.5065781474113464,2,0.5021609068,0.0194475707,1,0.8719761470009807
5,0.1,0.10000000149011612,0.6065781712532043,0,0.5511521697,0.0219414067,1,9.137487001665907
5,0.1,0.10000000149011612,0.6065781712532043,1,0.5419427752,0.0218591932,1,10.655740532117425
5,0.1,0.10000000149011612,0.6065781712532043,2,0.588824749,0.0212013926,1,2.926815222599477
5,0.2,0.20000000298023224,0.7065781354904175,0,0.5683319569,0.0228155181,1,19.56558965619059
5,0.2,0.20000000298023224,0.7065781354904175,1,0.5990655422,0.0230811015,1,15.215952474356687
5,0.2,0.20000000298023224,0.7065781354904175,2,0.5953648686,0.0226815641,1,15.739698315633161
5,0.3,0.30000001192092896,0.8065781593322754,0,0.6063506007,0.0249874741,1,24.824321898082818
5,0.3,0.30000001192092896,0.8065781593322754,1,0.5640653968,0.0269496106,1,30.066864534621075
5,0.3,0.30000001192092896,0.8065781593322754,2,nan,nan,0,nan
5,0.4,0.4000000059604645,0.9065781831741333,0,nan,nan,0,nan
5,0.4,0.4000000059604645,0.9065781831741333,1,nan,nan,0,nan
5,0.4,0.4000000059604645,0.9065781831741333,2,nan,nan,0,nan
5,0.5,0.5,1.0065782070159912,0,nan,nan,0,nan
5,0.5,0.5,1.0065782070159912,1,nan,nan,0,nan
5,0.5,0.5,1.0065782070159912,2,nan,nan,0,nan
5,0.6,0.6000000238418579,1.1065781116485596,0,0.6677408218,0.0255906414,1,39.65714532296214
5,0.6,0.6000000238418579,1.1065781116485596,1,0.7216678262,0.0259050969,1,34.78383327817024
5,0.6,0.6000000238418579,1.1065781116485596,2,0.7040560246,0.0260176789,1,36.37538848919482
5,0.7,0.699999988079071,1.2065781354904175,0,nan,nan,0,nan
5,0.7,0.699999988079071,1.2065781354904175,1,nan,nan,0,nan
5,0.7,0.699999988079071,1.2065781354904175,2,nan,nan,0,nan
5,0.8,0.800000011920929,1.3065781593322754,0,nan,nan,0,nan
5,0.8,0.800000011920929,1.3065781593322754,1,nan,nan,0,nan
5,0.8,0.800000011920929,1.3065781593322754,2,nan,nan,0,nan
6,,0.0,0.5065781474113464,0,0.5137763619,0.0192404408,1,1.4209484805921804
6,,0.0,0.5065781474113464,1,0.4702319205,0.0220166706,1,7.1748509281496755
6,,0.0,0.5065781474113464,2,nan,nan,0,nan
6,0.1,0.10000000149011612,0.6065781712532043,0,0.5394510627,0.0217531081,1,11.066522294153485
