attempt,shift,shift_numeric,cl_target,sample_id,cl_out,cd_out,valid,abs_cl_err
1,,0.0,0.5036484599113464,0,0.4917064607,0.0228809584,1,2.3710981293278417
1,,0.0,0.5036484599113464,1,0.4838497341,0.0231210161,1,3.9310605287726834
1,,0.0,0.5036484599113464,2,0.5214229226,0.023011798,1,3.52914068113745
1,0.1,0.10000000149011612,0.6036484837532043,0,0.6069131494,0.0256844871,1,0.5408223054744461
1,0.1,0.10000000149011612,0.6036484837532043,1,0.642288208,0.0260483753,1,6.401030614133554
1,0.1,0.10000000149011612,0.6036484837532043,2,0.5548260212,0.0254467819,1,8.087896162622501
1,0.2,0.20000000298023224,0.7036484479904175,0,0.572276175,0.0278172344,1,18.670157429553015
1,0.2,0.20000000298023224,0.7036484479904175,1,0.5650368333,0.0273893513,1,19.698986771914996
1,0.2,0.20000000298023224,0.7036484479904175,2,0.5713798404,0.0276467148,1,18.797541296107394
1,0.3,0.30000001192092896,0.8036484718322754,0,0.5107998252,0.0316479094,1,36.43989342312767
1,0.3,0.30000001192092896,0.8036484718322754,1,nan,nan,0,nan
1,0.3,0.30000001192092896,0.8036484718322754,2,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9036484956741333,0,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9036484956741333,1,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9036484956741333,2,nan,nan,0,nan
1,0.5,0.5,1.0036485195159912,0,nan,nan,0,nan
1,0.5,0.5,1.0036485195159912,1,0.4984216988,0.029753387,1,50.33901917771338
1,0.5,0.5,1.0036485195159912,2,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1036484241485596,0,0.7466862798,0.0277368259,1,32.34382766631031
1,0.6,0.6000000238418579,1.1036484241485596,1,0.755004108,0.0286146421,1,31.590161189015515
1,0.6,0.6000000238418579,1.1036484241485596,2,0.7713183165,0.0278236102,1,30.111954167373987
1,0.7,0.699999988079071,1.2036484479904175,0,nan,nan,0,nan
1,0.7,0.699999988079071,1.2036484479904175,1,nan,nan,0,nan
1,0.7,0.699999988079071,1.2036484479904175,2,nan,nan,0,nan
1,0.8,0.800000011920929,1.3036484718322754,0,nan,nan,0,nan
1,0.8,0.800000011920929,1.3036484718322754,1,nan,nan,0,nan
1,0.8,0.800000011920929,1.3036484718322754,2,nan,nan,0,nan
2,,0.0,0.5036484599113464,0,0.4805786014,0.023105422,1,4.580547812140084
