shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_ape_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.5097565054893494,0.5091437101,0.0101898657,0.12021335338546914,5,0,1
0.1,0.10000000149011612,0.6097565293312073,0.6071635485,0.0113005731,0.42524855519814175,14,1,1
0.2,0.20000000298023224,0.7097564935684204,0.6407462358,0.0145612229,9.723089312147001,10,1,1
0.3,0.30000001192092896,0.8097565174102783,0.6616863608,0.017482901,18.285762871514603,6,1,1
0.4,0.4000000059604645,0.9097565412521362,0.733420372,0.0048778909,19.382786630963636,6,2,1
0.5,0.5,1.0097565650939941,0.6624938846,0.0218897574,34.3907326278853,11,0,1
0.6,0.6000000238418579,1.1097564697265625,0.6760674119,0.0207765643,39.079660236936576,15,2,1
0.7,0.699999988079071,1.2097564935684204,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3097565174102783,nan,nan,nan,15,0,0
