attempt,shift,shift_numeric,cl_target,sample_id,cl_out,cd_out,valid,abs_cl_err
1,,0.0,0.5164886713027954,0,0.4795547128,0.0300921146,1,7.150971658222992
1,,0.0,0.5164886713027954,1,0.5604973435,0.0298236012,1,8.52074297896927
1,,0.0,0.5164886713027954,2,0.4566351175,0.0303412136,1,11.588551139334824
1,0.1,0.10000000149011612,0.6164886951446533,0,0.4552584887,0.0305105001,1,26.15298669942717
1,0.1,0.10000000149011612,0.6164886951446533,1,0.4766014218,0.0306864902,1,22.690971374881432
1,0.1,0.10000000149011612,0.6164886951446533,2,nan,nan,0,nan
1,0.2,0.20000000298023224,0.7164886593818665,0,nan,nan,0,nan
1,0.2,0.20000000298023224,0.7164886593818665,1,0.6136389971,0.0316596813,1,14.354681115343476
1,0.2,0.20000000298023224,0.7164886593818665,2,0.5921791792,0.0310123321,1,17.349818249616337
1,0.3,0.30000001192092896,0.8164886832237244,0,0.6541402936,0.031103624,1,19.883728085823275
1,0.3,0.30000001192092896,0.8164886832237244,1,0.8809970617,0.0276664663,1,7.9007069910116385
1,0.3,0.30000001192092896,0.8164886832237244,2,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9164886474609375,0,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9164886474609375,1,nan,nan,0,nan
1,0.4,0.4000000059604645,0.9164886474609375,2,nan,nan,0,nan
1,0.5,0.5,1.0164886713027954,0,0.539435029,0.0512454957,1,46.9315257287987
1,0.5,0.5,1.0164886713027954,1,nan,nan,0,nan
1,0.5,0.5,1.0164886713027954,2,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1164886951446533,0,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1164886951446533,1,nan,nan,0,nan
1,0.6,0.6000000238418579,1.1164886951446533,2,nan,nan,0,nan
1,0.7,0.699999988079071,1.2164885997772217,0,nan,nan,0,nan
1,0.7,0.699999988079071,1.2164885997772217,1,nan,nan,0,nan
1,0.7,0.699999988079071,1.2164885997772217,2,nan,nan,0,nan
1,0.8,0.800000011920929,1.3164887428283691,0,nan,nan,0,nan
1,0.8,0.800000011920929,1.3164887428283691,1,nan,nan,0,nan
1,0.8,0.800000011920929,1.3164887428283691,2,nan,nan,0,nan
2,,0.0,0.5164886713027954,0,0.4822375178,0.0303784423,1,6.631540129699262
2,,0.0,0.5164886713027954,1,0.4826387763,0.0304479618,1,6.553850429557754
2,,0.0,0.5164886713027954,2,0.5182693601,0.0297919568,1,0.34476821973906724
2,0.1,0.10000000149011612,0.6164886951446533,0,nan,nan,0,nan
2,0.1,0.10000000149011612,0.6164886951446533,1,0.4834162295,0.0309149753,1,21.585548395729965
2,0.1,0.10000000149011612,0.6164886951446533,2,nan,nan,0,nan
2,0.2,0.20000000298023224,0.7164886593818665,0,0.600497663,0.0309318211,1,16.18881120629808
2,0.2,0.20000000298023224,0.7164886593818665,1,0.5573414564,0.0310237464,1,22.21210355501885
2,0.2,0.20000000298023224,0.7164886593818665,2,0.5556147099,0.0308037046,1,22.45310478754216
2,0.3,0.30000001192092896,0.8164886832237244,0,0.6451688409,0.031282302,1,20.982512782333483
2,0.3,0.30000001192092896,0.8164886832237244,1,0.6241754293,0.031549044,1,23.553694971547937
2,0.3,0.30000001192092896,0.8164886832237244,2,0.7936275005,0.029899735,1,2.799938712372851
2,0.4,0.4000000059604645,0.9164886474609375,0,0.4638972878,0.0490414202,1,49.383193225012405
2,0.4,0.4000000059604645,0.9164886474609375,1,nan,nan,0,nan
2,0.4,0.4000000059604645,0.9164886474609375,2,nan,nan,0,nan
2,0.5,0.5,1.0164886713027954,0,nan,nan,0,nan
2,0.5,0.5,1.0164886713027954,1,1.1502901316,0.0333492719,1,13.163103935601791
2,0.5,0.5,1.0164886713027954,2,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1164886951446533,0,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1164886951446533,1,nan,nan,0,nan
2,0.6,0.6000000238418579,1.1164886951446533,2,nan,nan,0,nan
2,0.7,0.699999988079071,1.2164885997772217,0,nan,nan,0,nan
2,0.7,0.699999988079071,1.2164885997772217,1,nan,nan,0,nan
2,0.7,0.699999988079071,1.2164885997772217,2,nan,nan,0,nan
2,0.8,0.800000011920929,1.3164887428283691,0,nan,nan,0,nan
2,0.8,0.800000011920929,1.3164887428283691,1,nan,nan,0,nan
2,0.8,0.800000011920929,1.3164887428283691,2,nan,nan,0,nan
3,,0.0,0.5164886713027954,0,0.5493376851,0.0300909188,1,6.360064725978594
