shift,shift_numeric,cl_target,best_cl_out,best_cd_out,best_ape_cl_err,best_attempt,best_sample_id,has_valid
,0.0,0.5164886713027954,0.5160865784,0.0306007769,0.07785125311289336,4,2,1
0.1,0.10000000149011612,0.6164886951446533,0.5282760262,0.030170396,14.308886706179585,4,0,1
0.2,0.20000000298023224,0.7164886593818665,0.6210644245,0.0311592706,13.318317552184489,10,1,1
0.3,0.30000001192092896,0.8164886832237244,0.8139868379,0.0294722635,0.3064151867783821,11,0,1
0.4,0.4000000059604645,0.9164886474609375,0.814306438,0.0298318807,11.149315350934849,5,1,1
0.5,0.5,1.0164886713027954,1.126636982,0.0341178924,10.836157234888962,6,0,1
0.6,0.6000000238418579,1.1164886951446533,nan,nan,nan,15,0,0
0.7,0.699999988079071,1.2164885997772217,nan,nan,nan,15,0,0
0.8,0.800000011920929,1.3164887428283691,nan,nan,nan,15,0,0
